Start Algorithm:

Polynomial: -1.00 X^2 + 1.00 X + 2.00
Search interval [-1.00, 2.00]

Chrom: 100010001101 | Val:  0.6037 | Fit:  2.2393
Chrom: 110111001011 | Val:  1.5868 | Fit:  1.0688
Chrom: 100010100011 | Val:  0.6198 | Fit:  2.2357
Chrom: 101101011001 | Val:  1.1282 | Fit:  1.8554
Chrom: 001000101001 | Val: -0.5949 | Fit:  1.0513
Chrom: 110100101100 | Val:  1.4703 | Fit:  1.3085
Chrom: 000000010001 | Val: -0.9875 | Fit:  0.0372
Chrom: 110111001111 | Val:  1.5897 | Fit:  1.0625
Chrom: 001010011110 | Val: -0.5092 | Fit:  1.2316
Chrom: 010101000101 | Val: -0.0117 | Fit:  1.9881
Chrom: 011101110110 | Val:  0.3993 | Fit:  2.2399
Chrom: 011110000011 | Val:  0.4088 | Fit:  2.2417
Chrom: 110100011111 | Val:  1.4608 | Fit:  1.3269
Chrom: 100010010100 | Val:  0.6088 | Fit:  2.2382
Chrom: 011100100010 | Val:  0.3377 | Fit:  2.2237
Chrom: 111011111011 | Val:  1.8095 | Fit:  0.5351
Chrom: 000000010001 | Val: -0.9875 | Fit:  0.0372
Chrom: 000001101010 | Val: -0.9223 | Fit:  0.2269
Chrom: 100101110111 | Val:  0.7751 | Fit:  2.1743
Chrom: 011001011100 | Val:  0.1927 | Fit:  2.1556
